name,cuisine,location,link
Crustacean,"French, Seafood, Vietnamese","1475 Polk St San Francisco, CA, 94109 ",/ca/san-francisco/276474-crustacean/menu/
Maru Sushi,"Japanese, Sushi","529 Powell St San Francisco, CA, 94108 ",/ca/san-francisco/150847-maru-sushi/menu/
Bravo Pizza,"American, Italian, Pizza, Sandwiches, Wings","5145 Mission St San Francisco, CA, 94112 ",/ca/san-francisco/81732-bravo-pizza/menu/
El Burrito Express 2 - Divisadero,Mexican,"1812 Divisadero St San Francisco, CA, 94115 ",/ca/san-francisco/50027-el-burrito-express-2-divisadero/menu/
Taraval Okazu Ya Restaurant,"Japanese, Sushi","1735 Taraval St San Francisco, CA, 94116 ",/ca/san-francisco/44803-taraval-okazu-ya-restaurant/menu/
Mel's Drive-In,Diner,"3355 Geary Blvd San Francisco, CA, 94118 ",/ca/san-francisco/50048-mels-drive-in/menu/
Champa Garden,"Asian Fusion, Other, Thai","613 Faxon Ave San Francisco, CA, 94112 ",/ca/san-francisco/373693-champa-garden/menu/
Max's Opera Cafe,"American, Diner","601 Van Ness Ave Ste T San Francisco, CA, 94102 ",/ca/san-francisco/19707-maxs-opera-cafe/menu/
The Rotunda,American (New),"150 Stockton St San Francisco, CA, 94108 ",/ca/san-francisco/22246-the-rotunda/menu/
Taboun,Middle Eastern,"203 Parnassus Ave San Francisco, CA, 94117 ",/ca/san-francisco/44916-taboun/menu/
L&L Hawaiian Barbecue,"American, Barbecue, Hawaiian","312 Kearny St San Francisco, CA, 94108 ",/ca/san-francisco/92237-ll-hawaiian-barbecue/menu/
Marina Deli & Liquors,"Deli Food, Sandwiches","2299 Chestnut St San Francisco, CA, 94115 ",/ca/san-francisco/157953-marina-deli-liquors/menu/
Jade Cafe,Chinese,"1688 Bryant St San Francisco, CA, 94103 ",/ca/san-francisco/63212-jade-cafe/menu/
Old Mandarin Islamic Restaurant,Chinese,"3132 Vicente St San Francisco, CA, 94116 ",/ca/san-francisco/44770-old-mandarin-islamic-restaurant/menu/
Esperpento,"Latin American, Spanish, Tapas","3295 22nd St San Francisco, CA, 94110 ",/ca/san-francisco/63172-esperpento/menu/
El Metate,Mexican,"2406 Bryant St San Francisco, CA, 94110 ",/ca/san-francisco/275866-el-metate/menu/
Zorbaâs Pizza & Pasta,"Burgers, Italian, Pasta, Pizza, Sandwiches","106 Hazelwood Dr San Francisco, CA, 94080 ",/ca/san-francisco/55970-zorbas-pizza-pasta/menu/
Chico's Pizza,"Pizza, Sandwiches","131 6th St San Francisco, CA, 94103 ",/ca/san-francisco/44526-chicos-pizza/menu/
Saiâs Restaurant,"Vegetarian, Vietnamese","505 Washington St San Francisco, CA, 94111 ",/ca/san-francisco/44882-sais-restaurant/menu/
Las Isletas Restaurant,Caribbean,"4508 3rd St San Francisco, CA, 94124 ",/ca/san-francisco/114383-las-isletas-restaurant/menu/
Cocobang,"Barbecue, Korean","550 Taylor St San Francisco, CA, 94102 ",/ca/san-francisco/276469-cocobang/menu/
